,Team,Over Record,Over %,Under %,Total +/-,Year,Rank,Record,FBS,FEI,OFEI,DFEI,NDE,NPD,NAY,NPP,ELS,GLS,ALS
107,Vanderbilt,3-8-0,27.3,72.7,-4.0,2007,56,5-7,4-7,0.09,-0.68,0.82,-0.28,-0.41,0.023,-0.52,1.05,3.79,7.29
108,Stanford,3-9-0,25.0,75.0,-5.3,2007,63,4-8,4-8,-0.07,-0.67,0.55,-0.63,-0.61,-0.135,-1.4,0.83,3.59,7.76
109,BYU,3-9-0,25.0,75.0,-1.3,2007,25,11-2,10-2,0.41,0.2,0.84,1.08,0.97,0.144,1.24,0.23,1.77,5.7
110,New Mexico,3-9-0,25.0,75.0,-8.0,2007,72,9-4,8-4,-0.12,-1.13,0.9,0.01,0.13,0.016,0.31,0.23,1.4,4.55
111,Iowa,3-9-0,25.0,75.0,-6.4,2007,66,6-6,6-6,-0.09,-1.01,0.82,0.04,0.0,-0.028,-0.18,0.36,1.91,5.41
112,Temple,3-9-0,25.0,75.0,-6.9,2007,112,4-8,4-8,-0.81,-1.59,0.2,-0.42,-0.56,-0.091,-0.67,0.22,0.87,3.02
113,Notre Dame,3-9-0,25.0,75.0,-1.8,2007,77,3-9,3-9,-0.23,-1.22,0.78,-0.87,-0.9,-0.148,-1.13,0.65,3.25,7.69
114,USC,3-10-0,23.1,76.9,-5.0,2007,8,11-2,11-2,0.79,0.13,1.56,1.42,1.58,0.194,1.62,0.68,3.37,7.93
115,Oklahoma,11-2-0,84.6,15.4,10.7,2008,2,12-2,11-2,1.4,1.69,1.35,2.2,2.2,0.236,1.62,2.75,5.94,9.3
116,Utah,10-2-0,83.3,16.7,6.5,2008,12,13-0,12-0,0.7,0.12,1.19,1.27,1.49,0.201,1.25,0.72,2.52,5.63
117,Akron,9-3-0,75.0,25.0,7.7,2008,83,5-7,5-7,-0.33,-0.3,-0.45,-0.31,-0.21,-0.04,-0.07,0.16,1.0,3.9
118,Stanford,9-3-0,75.0,25.0,5.1,2008,50,5-7,5-7,0.09,0.07,0.01,-0.28,-0.22,-0.068,-0.29,1.39,3.88,7.02
119,Kansas State,8-3-0,72.7,27.3,5.6,2008,72,5-7,4-7,-0.11,-0.2,-0.29,-0.85,-0.66,-0.135,-0.73,1.49,3.29,5.75
120,Texas Tech,8-3-0,72.7,27.3,2.6,2008,6,11-2,9-2,0.92,1.27,0.71,1.23,1.12,0.128,0.93,1.99,4.28,7.16
121,Iowa State,8-3-0,72.7,27.3,7.5,2008,94,2-10,1-10,-0.43,-0.62,-0.25,-1.09,-1.0,-0.086,-1.36,0.8,2.99,6.36
122,Kent State,8-3-0,72.7,27.3,9.0,2008,103,4-8,3-8,-0.6,-0.47,-0.27,-0.24,-0.66,-0.033,-0.18,0.15,0.93,3.81
123,Buffalo,10-4-0,71.4,28.6,3.8,2008,66,8-6,8-6,-0.06,-0.11,-0.07,0.06,-0.03,-0.074,-0.54,0.45,1.84,5.42
124,Rice,9-4-0,69.2,30.8,5.9,2008,51,10-3,10-3,0.09,0.71,-0.18,0.93,0.89,0.086,0.56,0.85,1.97,4.77
125,Michigan,8-4-0,66.7,33.3,4.5,2008,70,3-9,3-9,-0.1,-0.73,0.59,-0.52,-0.62,-0.087,-0.73,1.08,3.56,7.22
126,Texas A&M,8-4-0,66.7,33.3,7.6,2008,82,4-8,4-8,-0.33,-0.42,-0.41,-1.32,-1.15,-0.215,-1.48,2.0,3.96,6.81
127,Kansas,8-4-0,66.7,33.3,3.8,2008,23,8-5,7-5,0.39,0.31,0.44,0.16,0.22,-0.003,0.32,2.13,4.24,7.12
128,UTEP,8-4-0,66.7,33.3,6.3,2008,80,5-7,5-7,-0.27,-0.22,-0.4,-0.45,-0.27,-0.056,-0.65,0.84,2.03,4.82
129,UNLV,8-4-0,66.7,33.3,6.2,2008,86,5-7,5-7,-0.36,-0.11,-0.55,-0.54,-0.6,-0.1,-0.87,0.62,2.25,5.34
130,Louisiana,8-4-0,66.7,33.3,6.5,2008,97,6-6,6-6,-0.47,-0.25,-0.53,0.05,0.0,0.013,0.44,0.13,0.68,3.13
131,Wisconsin,8-4-0,66.7,33.3,4.3,2008,44,7-6,6-6,0.15,-0.33,0.75,0.17,0.15,0.042,0.31,1.14,3.37,6.73
132,Nevada,8-4-0,66.7,33.3,7.2,2008,69,7-6,6-6,-0.07,-0.02,0.13,0.52,0.29,0.087,0.44,0.85,2.28,4.57
133,Penn State,8-4-0,66.7,33.3,1.8,2008,5,11-2,10-2,1.09,0.93,1.31,1.86,1.93,0.277,2.28,1.27,3.62,7.19
134,North Carolina,8-4-0,66.7,33.3,3.1,2008,22,8-5,7-5,0.42,-0.34,0.9,0.34,0.53,0.008,0.39,0.31,2.66,7.55
135,Arkansas,7-4-0,63.6,36.4,0.9,2008,68,5-7,4-7,-0.07,-0.21,0.27,-0.56,-0.85,-0.07,-0.32,2.16,4.47,7.37
136,Florida State,7-4-0,63.6,36.4,6.3,2008,17,9-4,7-4,0.54,-0.16,0.83,0.16,0.38,-0.01,-0.57,1.11,3.28,7.36
137,Indiana,7-4-0,63.6,36.4,1.4,2008,105,3-9,2-9,-0.62,-0.8,-0.38,-1.48,-1.53,-0.191,-1.0,0.8,2.9,6.46
138,UL Monroe,7-4-0,63.6,36.4,1.9,2008,109,4-8,3-8,-0.73,-0.85,-0.56,-0.69,-0.72,-0.161,-1.22,0.32,1.07,3.17
139,Nebraska,8-5-0,61.5,38.5,4.0,2008,24,9-4,9-4,0.39,0.33,0.4,0.5,0.69,0.104,0.36,1.52,3.83,7.34
140,California,8-5-0,61.5,38.5,0.1,2008,19,9-4,9-4,0.51,-0.4,1.34,0.78,0.87,0.074,1.36,1.07,3.37,7.2
141,Florida,8-5-0,61.5,38.5,0.1,2008,1,13-1,12-1,1.61,1.33,1.7,2.42,2.59,0.287,2.61,1.54,4.6,8.96
142,Boston College,8-5-0,61.5,38.5,1.3,2008,36,9-5,8-5,0.27,-0.69,1.19,0.36,0.3,0.062,0.42,0.48,3.08,7.92
143,Syracuse,6-4-1,60.0,40.0,1.6,2008,98,3-9,2-9,-0.5,-0.85,-0.11,-1.36,-1.49,-0.222,-1.36,0.73,2.92,6.88
144,Fresno State,7-5-1,58.3,41.7,3.3,2008,87,7-6,7-6,-0.36,-0.42,-0.27,-0.08,-0.08,-0.025,-0.06,0.34,1.39,4.19
145,Colorado State,7-5-0,58.3,41.7,2.5,2008,77,7-6,6-6,-0.22,-0.17,-0.06,-0.35,-0.32,-0.042,-0.24,0.71,2.65,5.98
146,Western Michigan,7-5-0,58.3,41.7,-2.7,2008,76,9-4,8-4,-0.18,-0.59,0.1,-0.09,0.04,-0.002,0.2,0.21,1.32,4.46
147,Air Force,7-5-0,58.3,41.7,-0.4,2008,60,8-5,7-5,0.02,-0.59,0.65,0.1,0.15,-0.043,-0.54,0.62,2.37,5.6
148,Connecticut,7-5-0,58.3,41.7,-1.0,2008,42,8-5,7-5,0.17,-0.65,1.17,0.41,0.27,0.074,0.5,0.33,2.28,6.57
149,Washington State,7-5-0,58.3,41.7,2.6,2008,118,2-11,1-11,-1.17,-1.58,-0.74,-2.75,-2.84,-0.385,-3.49,1.29,3.92,7.56
150,LSU,7-5-0,58.3,41.7,5.7,2008,26,8-5,7-5,0.36,-0.22,0.8,0.3,0.65,0.025,0.15,1.53,3.71,6.83
151,Houston,7-5-0,58.3,41.7,6.8,2008,53,8-5,7-5,0.07,0.44,-0.02,0.67,0.47,0.122,1.38,0.32,1.6,4.74
152,Oregon,7-5-1,58.3,41.7,12.5,2008,16,10-3,10-3,0.56,0.43,0.82,1.0,0.87,0.14,1.85,1.34,3.96,7.45
153,North Texas,7-5-0,58.3,41.7,5.9,2008,120,1-11,1-11,-1.45,-1.51,-1.46,-2.31,-2.45,-0.254,-3.02,0.21,1.09,3.8
154,Illinois,6-5-0,54.6,45.5,-0.4,2008,40,5-7,4-7,0.18,-0.23,0.62,-0.06,-0.19,0.004,0.61,1.24,3.5,6.56
155,Miami (OH),6-5-0,54.6,45.5,3.3,2008,115,2-10,1-10,-0.88,-1.36,-0.66,-1.74,-1.63,-0.156,-2.3,0.14,1.12,4.33
